source_address;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
122.168.194.41;49;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
165.227.202.89;48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
116.193.191.248;52;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
178.33.30.204;24;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0
209.97.173.49;48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
39.118.214.205;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
167.71.0.227;38;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0
202.21.117.178;13;7;9;9;9;10;7;7;6;12;4;9;7;6;10;9;8;9;7;10;9;9;6;9
103.70.190.216;12;12;13;12;12;12;13;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
91.234.25.201;20;0;0;0;0;0;39;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0
78.46.238.125;156;69;94;197;98;99;62;75;102;75;102;53;19;53;67;70;82;80;56;59;164;172;211;150
91.247.76.71;33;31;31;31;31;30;31;31;31;32;30;32;33;34;35;34;36;29;29;28;30;29;29;30
175.155.247.6;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
61.177.173.51;14;15;20;17;24;20;21;23;25;27;13;20;21;21;22;23;16;19;17;22;22;22;26;15
20.40.73.192;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
138.68.50.30;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0
104.248.163.6;42;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
61.177.172.114;12;14;12;18;14;16;15;15;16;16;7;18;22;20;18;14;11;11;9;15;14;16;12;15
