analyzer_id,source_port,source_protocol,target_port,target_protocol,Cluster
2,39490,4,80,4,1
2,57800,4,445,4,0
2,61014,4,80,4,0
2,57859,4,445,4,0
2,54150,4,445,4,0
5,52505,4,3389,4,0
2,55801,4,445,4,0
2,61453,4,80,4,0
5,49205,4,3389,4,0
5,53609,4,3389,4,0
2,61864,4,445,4,0
1,43630,4,2222,4,0
2,53256,4,445,4,0
2,52736,4,445,4,0
1,35232,4,2222,4,1
2,61323,4,445,4,0
2,64609,4,445,4,0
2,56163,4,445,4,0
5,57881,4,3389,4,0
2,55589,4,445,4,0
1,53728,4,2222,4,0
2,56833,4,445,4,0
2,54914,4,445,4,0
2,55584,4,445,4,0
2,50175,4,445,4,0
2,64216,4,445,4,0
2,60004,4,445,4,0
1,44358,4,2222,4,0
5,51328,4,3389,4,0
5,55511,4,3389,4,0
2,2450,4,445,4,1
5,63525,4,3389,4,0
5,63366,4,3389,4,0
2,60784,4,445,4,0
2,52946,4,445,4,0
5,57459,4,3389,4,0
2,60593,4,80,4,0
2,49381,4,445,4,0
2,64064,4,445,4,0
1,33430,4,2222,4,1
2,62527,4,80,4,0
2,63766,4,445,4,0
2,52695,4,445,4,0
2,64337,4,80,4,0
2,58985,4,445,4,0
2,53930,4,445,4,0
5,58372,4,3389,4,0
1,41002,4,2222,4,1
5,55679,4,3389,4,0
5,33516,4,3389,4,1
2,56080,4,445,4,0
2,56818,4,80,4,0
2,50724,4,445,4,0
1,55318,4,2222,4,0
2,54342,4,445,4,0
5,55178,4,3389,4,0
2,56920,4,445,4,0
2,50881,4,445,4,0
5,59775,4,3389,4,0
5,34298,4,3389,4,1
5,57986,4,3389,4,0
2,60143,4,80,4,0
2,63288,4,80,4,0
2,57054,4,445,4,0
2,5657,4,445,4,1
1,58428,4,2222,4,0
2,55366,4,80,4,0
2,53952,4,80,4,0
2,58228,4,80,4,0
2,15237,4,445,4,1
2,61638,4,445,4,0
5,53923,4,3389,4,0
5,60104,4,3389,4,0
2,53780,4,80,4,0
2,61033,4,445,4,0
5,58639,4,3389,4,0
2,51833,4,445,4,0
2,51900,4,445,4,0
2,62339,4,80,4,0
2,60172,4,445,4,0
2,65257,4,445,4,0
1,50204,4,2222,4,0
2,25616,4,3306,4,1
2,62587,4,445,4,0
2,52439,4,445,4,0
2,65086,4,445,4,0
1,34581,4,2222,4,1
2,43328,4,80,4,0
2,43360,4,80,4,0
2,56898,4,445,4,0
2,55716,4,80,4,0
5,8832,4,3389,4,1
2,57760,4,445,4,0
2,64078,4,445,4,0
1,43706,4,2222,4,0
2,51388,4,80,4,0
2,52620,4,445,4,0
2,51451,4,445,4,0
1,34736,4,2222,4,1
2,60000,4,445,4,0
2,58083,4,445,4,0
2,52087,4,445,4,0
1,56680,4,2222,4,0
2,51970,4,445,4,0
5,61798,4,3389,4,0
2,50046,4,80,4,0
2,60077,4,80,4,0
2,64821,4,445,4,0
2,53525,4,445,4,0
1,39962,4,2222,4,1
1,41572,4,2222,4,1
2,52237,4,445,4,0
2,64379,4,445,4,0
2,21601,4,445,4,1
5,32748,4,3389,4,1
2,14907,4,445,4,1
2,65083,4,445,4,0
2,5485,4,445,4,1
2,55295,4,80,4,0
1,34640,4,2222,4,1
2,60256,4,445,4,0
2,49932,4,80,4,0
2,27873,4,80,4,1
2,55468,4,80,4,0
2,58413,4,445,4,0
2,58619,4,445,4,0
2,30505,4,445,4,1
2,22963,4,445,4,1
2,61246,4,445,4,0
5,52285,4,3389,4,0
2,12683,4,80,4,1
2,47980,4,80,4,0
2,58752,4,80,4,0
2,55458,4,445,4,0
2,62293,4,445,4,0
5,65107,4,3389,4,0
2,46878,4,80,4,0
2,55566,4,80,4,0
2,53426,4,80,4,0
2,52733,4,445,4,0
2,62534,4,80,4,0
5,49434,4,3389,4,0
2,58411,4,445,4,0
2,60572,4,445,4,0
2,50334,4,445,4,0
2,50593,4,445,4,0
2,49310,4,445,4,0
1,40664,4,2222,4,1
2,58771,4,445,4,0
2,56138,4,445,4,0
2,61516,4,80,4,0
2,54696,4,445,4,0
5,56191,4,3389,4,0
2,64337,4,445,4,0
2,58282,4,80,4,0
5,60158,4,3389,4,0
5,50509,4,3389,4,0
2,58809,5,443,5,0
2,51253,4,80,4,0
2,58402,4,445,4,0
2,58015,4,445,4,0
2,63539,4,445,4,0
1,38982,4,2222,4,1
2,59806,4,80,4,0
2,55584,4,445,4,0
2,55340,4,445,4,0
2,44506,4,80,4,0
5,52711,4,3389,4,0
2,34268,4,80,4,1
2,63668,4,445,4,0
1,47490,4,2222,4,0
2,63300,4,445,4,0
1,54618,4,2222,4,0
5,49692,4,3389,4,0
2,62950,4,445,4,0
5,55945,4,3389,4,0
5,54134,4,3389,4,0
2,59963,4,445,4,0
2,57851,4,80,4,0
2,50841,4,80,4,0
2,49947,4,445,4,0
5,55196,4,3389,4,0
2,63792,4,445,4,0
2,41362,4,80,4,1
2,37802,4,80,4,1
5,56206,4,3389,4,0
2,59796,4,80,4,0
2,52913,4,445,4,0
5,18082,4,3389,4,1
2,60865,4,445,4,0
2,58800,4,80,4,0
2,60552,4,445,4,0
2,60058,4,80,4,0
2,55325,4,445,4,0
5,58558,4,3389,4,0
2,34825,4,445,4,1
2,50714,4,445,4,0
2,53342,4,445,4,0
2,58257,4,80,4,0
5,63526,4,3389,4,0
2,52403,4,445,4,0
2,55428,4,445,4,0
5,53411,4,3389,4,0
2,51832,4,445,4,0
5,25446,4,3389,4,1
2,3653,4,445,4,1
5,51747,4,3389,4,0
2,60702,4,80,4,0
1,47457,4,2222,4,0
2,64213,4,445,4,0
2,58956,4,445,4,0
2,12009,4,445,4,1
2,50952,4,445,4,0
2,56071,4,445,4,0
2,64245,4,445,4,0
2,58076,4,445,4,0
2,63321,4,445,4,0
5,58841,4,3389,4,0
2,45424,4,80,4,0
5,63499,4,3389,4,0
2,58324,4,445,4,0
2,28207,4,80,4,1
1,33910,4,2222,4,1
2,54071,4,445,4,0
2,62836,4,445,4,0
2,56446,4,445,4,0
2,50248,4,445,4,0
2,63224,4,445,4,0
2,61007,4,80,4,0
2,55448,4,445,4,0
2,52171,4,445,4,0
2,51247,4,80,4,0
2,59300,4,80,4,0
2,53719,4,445,4,0
2,60115,4,445,4,0
2,50031,4,445,4,0
2,63643,4,445,4,0
2,55410,4,80,4,0
2,65446,4,445,4,0
2,58307,4,80,4,0
1,48528,4,2222,4,0
2,64812,4,445,4,0
2,54986,4,445,4,0
2,53062,4,445,4,0
2,54346,4,80,4,0
2,52582,4,80,4,0
2,57316,4,445,4,0
1,57188,4,2222,4,0
2,55886,4,445,4,0
5,20797,4,3389,4,1
2,57630,4,445,4,0
2,60748,4,80,4,0
5,63160,4,3389,4,0
2,54658,4,80,4,0
5,60034,4,3389,4,0
2,65319,4,445,4,0
2,56637,4,445,4,0
1,33838,4,2222,4,1
2,63163,4,445,4,0
2,64057,4,445,4,0
5,64629,4,3389,4,0
2,63979,4,445,4,0
2,57113,4,445,4,0
2,49191,4,445,4,0
2,62440,4,445,4,0
1,19312,4,2222,4,1
2,50606,4,445,4,0
2,61974,4,445,4,0
5,62151,4,3389,4,0
2,60093,4,80,4,0
2,55360,4,80,4,0
2,60619,4,80,4,0
2,52029,4,445,4,0
2,57897,4,445,4,0
2,54532,4,445,4,0
5,57798,4,3389,4,0
1,38072,4,2222,4,1
2,56445,4,445,4,0
2,62231,4,445,4,0
2,58432,4,445,4,0
2,64220,4,445,4,0
5,65120,4,3389,4,0
5,56514,4,3389,4,0
2,57593,4,445,4,0
5,63807,4,3389,4,0
2,63613,4,445,4,0
2,56422,4,445,4,0
5,65450,4,3389,4,0
1,38281,4,2222,4,1
5,52075,4,3389,4,0
1,46210,4,2222,4,0
5,60537,4,3389,4,0
2,49601,4,445,4,0
1,48948,4,2222,4,0
2,59726,4,80,4,0
2,59957,4,445,4,0
1,54377,4,2222,4,0
1,57837,4,2222,4,0
2,53031,4,445,4,0
2,10657,4,445,4,1
2,57693,4,445,4,0
2,58416,4,445,4,0
2,26769,4,445,4,1
2,52152,4,445,4,0
2,56549,4,445,4,0
2,63706,4,445,4,0
1,46876,4,2222,4,0
5,52438,4,3389,4,0
2,61938,4,80,4,0
2,54865,4,445,4,0
2,62085,4,80,4,0
5,58382,4,3389,4,0
1,46164,4,2222,4,0
2,60843,4,445,4,0
2,57270,4,80,4,0
